user_id,navigation_nps,started_survey,edited_survey,published_nps
367,2022-05-27 16:58:05.665,,2022-07-21 18:48:22.992,
368,2022-12-20 21:53:26.299,,,
369,2022-05-30 13:32:35.328,,,
370,2022-01-25 22:41:11.669,,,
371,2022-01-26 16:37:07.820,,2022-01-26 16:37:22.192,
372,2022-01-10 15:38:15.091,,2022-02-10 12:58:27.692,
373,2022-02-01 08:57:54.869,,2022-02-01 08:58:13.181,
374,2022-02-04 19:26:07.378,,,
375,2022-02-23 16:10:17.540,,,
376,2022-01-10 14:31:02.915,,,
377,2022-01-14 05:45:00.392,,,
378,2022-04-20 15:08:11.888,,,
379,2022-05-02 22:46:02.167,,,
380,2022-01-20 23:45:08.836,,,
381,2022-03-02 10:22:30.001,,2022-08-25 10:13:29.677,
382,2022-05-11 05:13:47.100,,,
383,2022-05-25 14:35:23.842,,,
384,2022-01-10 02:54:10.406,,2022-01-17 01:37:49.826,
385,2022-04-27 20:52:21.170,,,
386,2022-01-10 11:00:41.314,,,
387,2022-05-03 08:31:02.417,,2022-10-12 07:00:18.009,
388,2022-03-29 17:31:59.625,,,
389,2022-01-05 10:26:49.272,,2022-01-05 10:27:04.436,
390,2022-04-06 20:07:54.566,,,
391,2022-01-12 11:09:23.937,,,
392,2022-02-17 20:32:53.497,,,
393,2022-02-21 14:46:15.560,,,
394,2022-04-12 18:38:30.132,,,
395,2022-01-13 07:39:17.428,,2022-02-04 08:14:40.236,
396,2022-01-20 09:46:31.474,,,
397,2022-03-02 18:14:22.614,,,
398,2022-04-19 12:27:23.645,,2022-07-01 16:31:51.589,
399,2022-01-06 22:16:46.097,,2022-01-07 11:09:26.655,
400,2022-05-12 14:18:38.897,,,
401,2022-12-15 17:37:27.719,,,
402,2022-04-27 13:39:41.711,,,
403,2022-01-24 06:43:24.528,2022-02-03 15:49:14.820,2022-02-03 15:49:14.834,2022-03-02 08:40:57.111
404,2022-01-04 13:46:54.163,,2022-01-04 13:47:14.110,2022-02-16 16:33:31.689
405,2022-04-10 10:46:01.499,,,
406,2022-05-07 13:56:00.274,,,
407,2022-03-02 18:14:14.178,,,
408,2022-01-13 04:16:50.556,,,
409,2022-01-28 03:57:24.460,,,
410,2022-02-21 17:24:21.508,,2022-02-21 17:24:25.714,2022-03-21 19:02:32.278
411,2022-01-14 13:42:32.567,,2022-01-14 13:43:31.092,
412,2022-01-26 17:18:29.989,,2022-02-01 21:11:23.638,
413,2022-02-22 18:03:24.925,,2022-08-30 20:40:43.340,
414,2022-02-25 18:16:06.229,,,
415,2022-05-16 22:52:28.438,,,
416,2022-05-18 10:49:54.083,,,
417,2022-03-29 13:11:01.127,,,
418,2022-05-23 13:40:08.187,,,
419,2022-05-09 11:22:39.915,,2022-05-11 07:35:51.470,
420,2022-12-19 13:14:51.531,,,
421,2022-12-19 08:39:36.491,,,
422,2022-03-01 17:05:52.447,,2022-03-01 17:06:38.223,
423,2022-01-26 00:20:28.206,,,
424,2022-03-01 12:48:52.238,,,
425,2022-05-19 09:13:44.197,,,
426,2022-04-25 16:52:40.956,,2022-04-25 16:55:44.121,
427,2022-01-28 15:13:30.772,,,
428,2022-01-10 15:33:40.009,,2022-01-10 15:34:13.445,
429,2022-03-30 22:19:02.182,2022-03-30 22:19:03.546,2022-03-30 22:19:03.553,
430,2022-12-21 12:14:19.683,,,
431,2022-02-22 01:00:38.983,,,
432,2022-05-20 15:59:41.864,,2022-06-27 19:28:49.656,
433,2022-03-29 13:41:54.877,,,
434,2022-02-16 20:20:46.045,,,
435,2022-01-19 18:34:34.370,,2022-01-20 17:20:23.900,
436,2022-04-22 16:05:57.666,,,
437,2022-02-21 07:40:37.017,,,
438,2022-05-16 19:48:40.553,,,
439,2022-01-21 15:12:07.449,,2022-06-01 14:52:26.160,
440,2022-05-17 21:26:05.237,,2022-05-27 15:18:47.071,
441,2022-03-22 09:49:15.891,,,
442,2022-12-15 17:01:18.361,,,
443,2022-02-27 10:35:29.849,,,
444,2022-01-03 21:08:07.406,,2022-01-03 21:16:58.283,
445,2022-05-27 19:32:12.656,,,
446,2022-04-26 19:57:02.177,,,
447,2022-04-06 11:56:19.352,,,
448,2022-03-02 19:48:41.932,,2022-03-02 19:48:44.962,
